lead_id,source,stage,has_company,owner_id,owner_role,created_at,updated_at,interaction_count,call_count,email_interaction_count,meeting_interaction_count,task_count,completed_task_count,open_task_count,overdue_task_count,call_task_count,email_task_count,meeting_task_count,todo_task_count,avg_task_progress,last_activity_at,days_since_last_activity,days_since_creation,converted
fe96dddc-0a4c-447f-85dc-0e0164dddcac,site web,Contacte,1,ea7c65d1-e3c3-4fd6-b8e6-bdeaae65745f,ADMIN,2026-04-05T23:19:37.963000,2026-06-14T10:46:48.781000,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2026-06-14T10:46:48.781000,0,69,0
208b33cc-96f6-447a-816f-fb380da4e2c2,site web,Proposition,1,ea7c65d1-e3c3-4fd6-b8e6-bdeaae65745f,ADMIN,2026-04-06T01:00:08.011000,2026-06-10T15:00:22.371000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2026-06-10T15:00:22.371000,3,69,0
25031bc6-1bb1-4c06-9a53-651afbd51715,Facebook,Contacte,1,ea7c65d1-e3c3-4fd6-b8e6-bdeaae65745f,ADMIN,2026-05-11T21:39:44.986000,2026-05-12T23:48:36.198000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2026-05-12T23:48:36.198000,32,33,0
d5d01ee8-9e5f-4b9c-8bcc-c1b1c205dd35,Facebook,Qualifie,1,ea7c65d1-e3c3-4fd6-b8e6-bdeaae65745f,ADMIN,2026-05-11T21:39:45.017000,2026-06-14T09:44:08.392000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2026-06-14T09:44:08.392000,0,33,0
2219283d-fa25-4f40-997d-d469f0e070af,LinkedIn,Proposition,1,ea7c65d1-e3c3-4fd6-b8e6-bdeaae65745f,ADMIN,2026-05-11T21:39:45.034000,2026-06-14T10:46:51.929000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2026-06-14T10:46:51.929000,0,33,0
99c65374-552c-4d4c-8eeb-c5ac59ef5a7d,Instagram,Qualifie,1,ea7c65d1-e3c3-4fd6-b8e6-bdeaae65745f,ADMIN,2026-05-11T21:39:45.052000,2026-05-12T23:07:08.537000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2026-05-12T23:07:08.537000,32,33,0
9466b88f-9af8-408e-adc9-78b1993a1dbc,Facebook,Qualifie,1,ea7c65d1-e3c3-4fd6-b8e6-bdeaae65745f,ADMIN,2026-05-11T21:39:45.065000,2026-05-12T23:48:58.373000,0,0,0,0,1,0,0,0,0,0,0,1,0.0,2026-06-10T18:44:27.973000,3,33,0
5fbcd512-5db1-43c6-96ae-5478ff960a5f,Twitter,Qualifie,1,ea7c65d1-e3c3-4fd6-b8e6-bdeaae65745f,ADMIN,2026-05-11T21:39:45.084000,2026-05-12T23:48:34.524000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2026-05-12T23:48:34.524000,32,33,0
8528be5e-16f6-4f1a-9306-5d6247304d64,LinkedIn,Contacte,1,ea7c65d1-e3c3-4fd6-b8e6-bdeaae65745f,ADMIN,2026-05-11T21:39:45.097000,2026-06-14T10:46:49.944000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2026-06-14T10:46:49.944000,0,33,0
07b0f505-12d1-455f-8a10-ba9646e54825,Instagram,Gagne,1,ea7c65d1-e3c3-4fd6-b8e6-bdeaae65745f,ADMIN,2026-05-11T21:39:45.111000,2026-05-22T17:44:39.432000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2026-05-22T17:44:39.432000,22,33,1
55f98109-7274-4058-932e-f26ca65df6e7,Facebook,Proposition,1,ea7c65d1-e3c3-4fd6-b8e6-bdeaae65745f,ADMIN,2026-05-11T21:39:45.125000,2026-05-22T17:44:56.124000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2026-05-22T17:44:56.124000,22,33,0
b6a1152c-ac21-4b76-8254-dff9b22e658c,Twitter,Gagne,1,ea7c65d1-e3c3-4fd6-b8e6-bdeaae65745f,ADMIN,2026-05-11T21:39:45.139000,2026-05-11T22:34:29.137000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2026-05-11T22:34:29.137000,33,33,1
37ba6891-648d-4766-99ec-a93910657762,LinkedIn,Gagne,1,ea7c65d1-e3c3-4fd6-b8e6-bdeaae65745f,ADMIN,2026-05-11T21:39:45.152000,2026-05-22T17:44:32.318000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2026-05-22T17:44:32.318000,22,33,1
ecb47943-e30f-447f-8d8c-3f44440714a4,Facebook,Gagne,1,ea7c65d1-e3c3-4fd6-b8e6-bdeaae65745f,ADMIN,2026-05-11T21:39:45.164000,2026-05-11T22:30:44.900000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2026-05-11T22:30:44.900000,33,33,1
6faa4de8-a9d2-4668-8d05-07a8fbda5073,Instagram,Gagne,1,ea7c65d1-e3c3-4fd6-b8e6-bdeaae65745f,ADMIN,2026-05-11T21:39:45.176000,2026-05-12T23:10:34.789000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2026-05-12T23:10:34.789000,32,33,1
